,e_enzyme,e_enzyme_composition_string,m_reaction
1960,CPLX0-7534,b0929(3),ASCBtex
1961,RHAMNULPALDOL-CPLX,b3902(4),RMPA
1962,CPLX0-3201,b2328(2),MDDEP3pp
1963,EG10202-MONOMER,b3182(1),MDDEP3pp
1964,EG12015-MONOMER,b2134(1),MDDEP3pp
1965,PDXK-CPLX,b2418(4),PYDXNK
1966,EG11426-MONOMER,b3624(1),MOAT3C
1967,CPLX0-235,b3553(2),GLYCLTDy
1968,G6539-MONOMER,b1033(1),GLYCLTDy
1969,CPLX0-235,b3553(2),GLYCLTDx
1970,G6539-MONOMER,b1033(1),GLYCLTDx
1971,CPLX0-7652,b3903(4),LYXI
1972,EG12318-MONOMER,b0123(1),CU1Opp
1973,CPLX0-7704,b0914(2),PG140abcpp
1974,NICOTINATEPRIBOSYLTRANS-MONOMER,b0931(1),NAMNPP
1975,CPLX0-7533,b2215(3),SBTtex
1976,CPLX0-7530,b0241(3),SBTtex
1977,G6700-MONOMER,b1377(1),SBTtex
1978,CPLX0-7534,b0929(3),SBTtex
1979,CPLX0-7826,b2954(2),NTPP11
1980,ACETYLORNTRANSAM-CPLX,b3359(2),ACOTA
1981,SUCCORNTRANSAM-CPLX,b1748(2),ACOTA
1982,DALADEHYDROGA-MONOMER,b1189(1),DAAD
1983,NUPG-MONOMER,b2964(1),INSt2pp
1984,ADHE-CPLX,b1241(40),ALCD2x
1985,ADHC-CPLX,b0356(2),ALCD2x
1986,ADHP-MONOMER,b1478(1),ALCD2x
1987,HISTPHOSTRANS-CPLX,b2021(2),HSTPT
1988,ABC-26-CPLX,b2678(2) AND b2677(2) AND b2679(1),CRNabcpp
1989,CPLX0-236,b1463(2),ACANTHAT
1990,CPLX0-7614,b2019(2),ATPPRT
1991,ABC-12-CPLX,b0809(2) AND b0811(1) AND b0810(2),GLNabcpp
1992,CPLX0-7704,b0914(2),PE140abcpp
1993,IMIDHISTID-CPLX,b2022(2),HISTP
1994,YHHO-MONOMER,b3469(1),HG2abcpp
1995,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK2
1996,ADENYL-KIN-MONOMER,b0474(1),NDPK2
1997,YGGA-MONOMER,b2923(1),LYSt3pp
1998,CPLX0-7533,b2215(3),3CMPtex
1999,CPLX0-7530,b0241(3),3CMPtex
2000,G6700-MONOMER,b1377(1),3CMPtex
2001,CPLX0-7534,b0929(3),3CMPtex
2002,AROB-MONOMER,b3389(1),DHQS
2003,N-ACETYLTRANSFER-CPLX,b2818(6),ACGS
2004,CPLX0-7704,b0914(2),PGP141abcpp
2005,USHA-MONOMER,b0480(1),UACGALPpp
2006,EG11035-MONOMER,b0411(1),DADNtex
2007,CPLX0-7533,b2215(3),GLYC2Ptex
2008,CPLX0-7530,b0241(3),GLYC2Ptex
2009,G6700-MONOMER,b1377(1),GLYC2Ptex
2010,CPLX0-7534,b0929(3),GLYC2Ptex
2011,MONOMER0-341,b3821(1),PLIPA1A160pp
2012,G6708-MONOMER,b1387(1),OXCOAHDH
2013,ACETYLGLUTKIN-CPLX,b3959(2),ACGK
2014,CPLX0-7688,b2661(4),SSALy
2015,CPLX0-7687,b1525(2),SSALy
2016,CPLX0-241,b2095(1) AND b2096(1),TGBPA
2017,CPLX0-240,b3137(1) AND b3132(1),TGBPA
2018,EG10299-MONOMER,b0585(1),ENTERES2
2019,GLYCPDIESTER-PERI-CPLX,b2239(2),GPDDA4pp
2020,GUANYL-KIN-CPLX,b3648(2),GK1
2021,SUCCGLUALDDEHYD-MONOMER,b1746(1),SGSAD
2022,EG10280-MONOMER,b2344(1),OCDCEAtexi
2023,FORMHYDROGI-CPLX,b0974() AND b0972() AND b0973(),HYD2pp
2024,FORMHYDROG2-CPLX,b2994() AND b2995() AND b2996() AND b2997(),HYD2pp
2025,DSERDEAM-MONOMER,b2366(1),SERD_D
2026,THIOESTERII-CPLX,b0452(4),FACOAE161
2027,THIOESTERII-CPLX,b0452(4),FACOAE160
2028,G6502-MONOMER,b0968(1),APH120
2029,CPLX0-7533,b2215(3),GLYALDtex
2030,CPLX0-7530,b0241(3),GLYALDtex
2031,G6700-MONOMER,b1377(1),GLYALDtex
2032,CPLX0-7534,b0929(3),GLYALDtex
2033,CPLX0-1942,b1252() AND b0150() AND b3005() AND b3006(),FECRMtonex
2034,CPLX0-3482,b3588(4),ALDD2y
2035,ALDHDEHYDROG-MONOMER,b1300(1),ALDD2x
2036,MONOMER0-341,b3821(1),PLIPA2G160pp
2037,CPLX0-7533,b2215(3),NO2tex
2038,CPLX0-7530,b0241(3),NO2tex
2039,G6700-MONOMER,b1377(1),NO2tex
2040,CPLX0-7534,b0929(3),NO2tex
2041,GPT-CPLX,b0238(4),XPPT
2042,ALD-CPLX,b1415(4),GCALDD
2043,CPDB-MONOMER,b4213(1),23PDE4pp
2044,CPLX0-7533,b2215(3),PSERtex
2045,CPLX0-7530,b0241(3),PSERtex
2046,G6700-MONOMER,b1377(1),PSERtex
2047,CPLX0-7534,b0929(3),PSERtex
2048,B0511-MONOMER,b0511(1),ALLTNt2rpp
2049,CPLX0-7533,b2215(3),CYTDtex
2050,CPLX0-7530,b0241(3),CYTDtex
2051,G6700-MONOMER,b1377(1),CYTDtex
2052,CPLX0-7534,b0929(3),CYTDtex
2053,CPLX0-682,b2615(6),NADK
2054,AAS-MONOMER,b2836(1),2AGPGAT141
2055,AAS-MONOMER,b2836(1),2AGPGAT140
2056,YHHO-MONOMER,b3469(1),CU2abcpp
2057,CPLX0-7533,b2215(3),H2tex
2058,CPLX0-7530,b0241(3),H2tex
2059,G6700-MONOMER,b1377(1),H2tex
2060,CPLX0-7534,b0929(3),H2tex
2061,CPLX0-7533,b2215(3),MELIBtex
2062,CPLX0-7530,b0241(3),MELIBtex
2063,G6700-MONOMER,b1377(1),MELIBtex
2064,CPLX0-7534,b0929(3),MELIBtex
2065,METNIQ-METHIONINE-ABC-CPLX,b0197() AND b0198() AND b0199(2),METabcpp
2066,G7502-MONOMER,b2883(1),GUAD
2067,NAPAB-CPLX_NAPC-MONOMER,b2202() AND b2203() AND b2206(),NO3R2bpp
2068,THIKIN-MONOMER,b1106(1),TMK
2069,DCUA-MONOMER,b4138(1),FUMt2_3pp
2070,DCUB-MONOMER,b4123(1),FUMt2_3pp
2071,DCUC-MONOMER,b0621(1),FUMt2_3pp
2072,GLUTCYSLIG-MONOMER,b2688(1),GLUCYS
2073,CPLX0-7533,b2215(3),DUMPtex
2074,CPLX0-7530,b0241(3),DUMPtex
2075,G6700-MONOMER,b1377(1),DUMPtex
2076,CPLX0-7534,b0929(3),DUMPtex
2077,NITRITREDUCT-CPLX,b3365(2) AND b3366(1),NTRIR2x
2078,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),FUSAtpp
2079,CPLX0-3932,b0463() AND b2470() AND b3035(),FUSAtpp
2080,ABC-59-CPLX,b1487(1) AND b1486(1) AND b1485(1) AND b1484(1) AND b1483(1),ALAALAabcpp
2081,ABC-8-CPLX,b3540(1) AND b3541(1) AND b3542(1) AND b3543(1) AND b3544(1),ALAALAabcpp
2082,TRANSALDOLB-CPLX,b0008(2),TALA
2083,TRANSALDOLA-MONOMER,b2464(1),TALA
2084,CPLX0-3881,b2052(2),GOFUCR
2085,NADH-DHI-CPLX,b2288(1) AND b2283() AND b2284() AND b2277() AND b2280() AND b2285() AND b2279() AND b2281() AND b2286() AND b2278() AND b2282() AND b2276() AND b2287(),NADH16pp
2086,YGGA-MONOMER,b2923(1),ARGt3pp
2087,HOMSUCTRAN-CPLX,b4013(2),HSST
2088,TMAOREDUCTI-CPLX,b0996() AND b0997(2),TMAOR2pp
2089,CPLX-63,b1872(1) AND b1873(1),TMAOR2pp
2090,CPLX0-7533,b2215(3),LYXtex
2091,CPLX0-7530,b0241(3),LYXtex
2092,G6700-MONOMER,b1377(1),LYXtex
2093,CPLX0-7534,b0929(3),LYXtex
2094,DXPREDISOM-CPLX,b0173(2),DXPRIi
2095,PAPSSULFOTRANS-CPLX,b2762(2),PAPSR2
2096,XANTHOSINEPHOSPHORY-CPLX,b2407(6),PUNP4
2097,DEOD-CPLX,b4384(6),PUNP4
2098,XANTHOSINEPHOSPHORY-CPLX,b2407(6),PUNP5
2099,DEOD-CPLX,b4384(6),PUNP5
2100,XANTHOSINEPHOSPHORY-CPLX,b2407(6),PUNP6
2101,DEOD-CPLX,b4384(6),PUNP6
2102,XANTHOSINEPHOSPHORY-CPLX,b2407(6),PUNP7
2103,CPLX0-7630,b0494(4),LPLIPAL1A180pp
2104,DEOD-CPLX,b4384(6),PUNP2
2105,XANTHOSINEPHOSPHORY-CPLX,b2407(6),PUNP3
2106,DEOD-CPLX,b4384(6),PUNP3
2107,EG10739-MONOMER,b3825(1),LPLIPAL2E180
2108,EG10739-MONOMER,b3825(1),LPLIPAL2E181
2109,YCHM-MONOMER,b1206(1),SO4t2pp
2110,DIHYDROPTERIREDUCT-CPLX,b0578(2),DHPTDNRN
2111,CPLX0-7533,b2215(3),PPPNtex
2112,CPLX0-7530,b0241(3),PPPNtex
2113,G6700-MONOMER,b1377(1),PPPNtex
2114,CPLX0-7534,b0929(3),PPPNtex
2115,L-ASPARTATE-OXID-MONOMER,b2574(1),ASPO4
2116,L-ASPARTATE-OXID-MONOMER,b2574(1),ASPO5
2117,L-ASPARTATE-OXID-MONOMER,b2574(1),ASPO6
2118,YAAJ-MONOMER,b0007(1),GLYt4pp
2119,UDK-MONOMER,b2066(1),CYTDK2
2120,EG11595-MONOMER_EG11666-MONOMER,b0783() AND b0781(),CPMPS
2121,EG12069-MONOMER,b2210(1),MDH3
2122,EG12069-MONOMER,b2210(1),MDH2
2123,ABC-25-CPLX,b0857(1) AND b0856(1) AND b0854(1) AND b0855(2),PTRCabcpp
2124,ABC-24-CPLX,b1124(1) AND b1125(1) AND b1126(2) AND b1123(1),PTRCabcpp
2125,ABC-51-CPLX,b1443(1) AND b1442(1) AND b1440(1) AND b1441(2),PTRCabcpp
2126,CPLX0-7533,b2215(3),R5Ptex
2127,CPLX0-7530,b0241(3),R5Ptex
2128,G6700-MONOMER,b1377(1),R5Ptex
2129,CPLX0-7534,b0929(3),R5Ptex
2130,DIMESULFREDUCT-CPLX,b0896(1) AND b0895(1) AND b0894(1),DMSOR2
2131,DIMESULFREDUCT-CPLX,b0896(1) AND b0895(1) AND b0894(1),DMSOR1
2132,CPLX0-1601,b1587(1) AND b1590(1) AND b1588(1) AND b1589(1),DMSOR1
2133,SUCC-DEHASE,b0721(1) AND b0723(1) AND b0722(1) AND b0724(1),SUCDi
2134,UDHA-CPLX,b3962(8),NADTRHD
2135,PYRNUTRANSHYDROGEN-CPLX,b1602(2) AND b1603(2),NADTRHD
2136,2-ISOPROPYLMALATESYN-MONOMER,b0074(1),IPPS
2137,CPLX0-7641,b3915(2),COBALT2t3pp
2138,B0752-MONOMER,b0752(1),COBALT2t3pp
2139,CPLX0-7704,b0914(2),PGP160abcpp
2140,CPLX0-7533,b2215(3),ARBtex
2141,CPLX0-7530,b0241(3),ARBtex
2142,G6700-MONOMER,b1377(1),ARBtex
2143,CPLX0-7534,b0929(3),ARBtex
2144,CPLX0-7704,b0914(2),PG181abcpp
2145,CPLX0-7533,b2215(3),GAL1Ptex
2146,CPLX0-7530,b0241(3),GAL1Ptex
2147,G6700-MONOMER,b1377(1),GAL1Ptex
2148,CPLX0-7534,b0929(3),GAL1Ptex
2149,AMPG-MONOMER,b0433(1),AGM3Pt2pp
2150,LYXK-CPLX,b3580(2),3KGK
2151,CPLX0-7533,b2215(3),FRUURtex
2152,CPLX0-7530,b0241(3),FRUURtex
2153,G6700-MONOMER,b1377(1),FRUURtex
2154,CPLX0-7534,b0929(3),FRUURtex
2155,CPLX0-7641,b3915(2),MN2t3pp
2156,B0752-MONOMER,b0752(1),MN2t3pp
2157,GLUCOSE-1-PHOSPHAT-CPLX,b1002(2),GAL1PPpp
2158,DGTPTRIPHYDRO-CPLX,b0160(4),NTPTP1
2159,DGTPTRIPHYDRO-CPLX,b0160(4),NTPTP2
2160,DIACYLGLYKIN-CPLX,b4042(3),DAGK161
2161,DIACYLGLYKIN-CPLX,b4042(3),DAGK160
2162,PSD-MONOMER,b4160(1),PSD120
2163,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA120
2164,YHHO-MONOMER,b3469(1),ZN2abcpp
2165,PSERTRANSAM-CPLX,b0907(2),PSERT
2166,CPLX0-1721,b0572(3) AND b0573(1) AND b0574(1) AND b0575(3),CUt3
2167,CPLX0-7533,b2215(3),METSOX1tex
2168,CPLX0-7530,b0241(3),METSOX1tex
2169,G6700-MONOMER,b1377(1),METSOX1tex
2170,CPLX0-7534,b0929(3),METSOX1tex
2171,CPLX0-7653,b0875(4),H2Otpp
2172,AICARTRANSIMPCYCLO-CPLX,b4006(1),AICART
2173,CPLX0-7533,b2215(3),TAURtex
2174,CPLX0-7530,b0241(3),TAURtex
2175,G6700-MONOMER,b1377(1),TAURtex
2176,CPLX0-7534,b0929(3),TAURtex
2177,CPLX0-7533,b2215(3),BTNtex
2178,CPLX0-7530,b0241(3),BTNtex
2179,CPLX0-7534,b0929(3),BTNtex
2180,G6700-MONOMER,b1377(1),BTNtex
2181,QUINOPRIBOTRANS-CPLX,b0109(2),NNDPR
2182,ACNEULY-CPLX,b3225(4),ACNML
2183,TREHALACYTO-MONOMER,b3519(1),TREH
2184,ABC-24-CPLX,b1124(1) AND b1125(1) AND b1126(2) AND b1123(1),SPMDabcpp
2185,ABC-51-CPLX,b1443(1) AND b1442(1) AND b1440(1) AND b1441(2),SPMDabcpp
2186,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),LIPAabctex
2187,COADTRI-CPLX,b3634(6),PTPATi
2188,CPLX0-7533,b2215(3),GALTtex
2189,CPLX0-7530,b0241(3),GALTtex
2190,G6700-MONOMER,b1377(1),GALTtex
2191,CPLX0-7534,b0929(3),GALTtex
2192,CPLX0-7533,b2215(3),CMtex
2193,CPLX0-7534,b0929(3),CMtex
2194,CPLX0-7530,b0241(3),CMtex
2195,G6700-MONOMER,b1377(1),CMtex
2196,PURK-CPLX,b0522(2),AIRC2
2197,EG11822-MONOMER,b1301(1),GGPTRCO
2198,GLUC1PADENYLTRANS-CPLX,b3430(4),GLGC
2199,TRANSKETOI-CPLX,b2935(2),TKT2
2200,CPLX0-1261,b2465(),TKT2
2201,TRANSKETOI-CPLX,b2935(2),TKT1
2202,CPLX0-1261,b2465(),TKT1
2203,CPLX0-7533,b2215(3),HYXNtex
2204,CPLX0-7530,b0241(3),HYXNtex
2205,G6700-MONOMER,b1377(1),HYXNtex
2206,CPLX0-7534,b0929(3),HYXNtex
2207,CPLX0-7533,b2215(3),UDPGLCURtex
2208,CPLX0-7530,b0241(3),UDPGLCURtex
2209,G6700-MONOMER,b1377(1),UDPGLCURtex
2210,CPLX0-7534,b0929(3),UDPGLCURtex
2211,MALTACETYLTRAN-CPLX,b0459(2),GLCATr
2212,PANTOTHENATE-KIN-CPLX,b3974(2),PNTK
2213,YFEP-MONOMER,b2392(1),FE2t2pp
2214,CPLX0-7709,b1297(12),GGPTRCS
2215,NRFMULTI-CPLX,b4071(1) AND b4070(1) AND b4073(1) AND b4072(1),NTRIR4pp
2216,CPLX0-7533,b2215(3),ASNtex
2217,CPLX0-7530,b0241(3),ASNtex
2218,G6700-MONOMER,b1377(1),ASNtex
2219,CPLX0-7534,b0929(3),ASNtex
2220,CHORPYRLY-MONOMER,b4039(1),CHRPL
2221,CPLX0-7533,b2215(3),CYNTtex
2222,CPLX0-7530,b0241(3),CYNTtex
2223,G6700-MONOMER,b1377(1),CYNTtex
2224,CPLX0-7534,b0929(3),CYNTtex
2225,CPLX0-7732,b2428(2),ACM6PH
2226,MHPF-MONOMER,b0351(1),ACALD
2227,ADHE-CPLX,b1241(40),ACALD
2228,METNIQ-METHIONINE-ABC-CPLX,b0197() AND b0198() AND b0199(2),METDabcpp
2229,EG10201-MONOMER,b0632(1),MDDCP5pp
2230,EG10202-MONOMER,b3182(1),MDDCP5pp
2231,EG10203-MONOMER,b0839(1),MDDCP5pp
2232,RPOA-MONOMER,b2010(1),MDDCP5pp
2233,CPLX0-7533,b2215(3),23CCMPtex
2234,CPLX0-7530,b0241(3),23CCMPtex
2235,G6700-MONOMER,b1377(1),23CCMPtex
2236,CPLX0-7534,b0929(3),23CCMPtex
2237,GLUTKIN-CPLX,b0242(4),GLU5K
2238,SPOT-MONOMER,b3650(1),GDPTPDP
2239,GKI-MONOMER,b3124(1),GLYCK2
2240,GLUCOSAMINE-6-P-DEAMIN-CPLX,b0678(6),G6PDA
2241,G6886-MONOMER,b1646(1),SPODMpp
2242,CPLX0-7717_G6561-MONOMER,b1069() AND b3396(2),MPTG2
2243,G7322-MONOMER_G6561-MONOMER,b2519() AND b1069(),MPTG2
2244,CPLX0-3951_G6561-MONOMER,b1069() AND b0149(2),MPTG2
2245,YIDK-MONOMER,b3679(1),INOSTt4pp
2246,MALTODEXGLUCOSID-MONOMER,b0403(1),MLTG5
2247,MALTODEXGLUCOSID-MONOMER,b0403(1),MLTG4
2248,ACETOACETYL-COA-TRANSFER-CPLX,b2222(2) AND b2221(2),ACACCT
2249,MALTODEXGLUCOSID-MONOMER,b0403(1),MLTG1
2250,EG10739-MONOMER,b3825(1),LPLIPAL2ATG181
2251,EG10739-MONOMER,b3825(1),LPLIPAL2ATG180
2252,MONOMER0-149,b0207(1),DKGLCNR1
2253,MONOMER0-148,b3012(1),DKGLCNR1
2254,CPLX0-761,b2868() AND b2866() AND b2867(),HXAND
2255,CPLX0-7533,b2215(3),G1Ptex
2256,CPLX0-7530,b0241(3),G1Ptex
2257,G6700-MONOMER,b1377(1),G1Ptex
2258,CPLX0-7534,b0929(3),G1Ptex
2259,CPLX0-7533,b2215(3),GLCRtex
2260,CPLX0-7530,b0241(3),GLCRtex
2261,G6700-MONOMER,b1377(1),GLCRtex
2262,CPLX0-7534,b0929(3),GLCRtex
2263,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),G3PIabcpp
2264,DLACTDEHYDROGFAD-MONOMER,b2133(1),LDH_D
2265,DLACTDEHYDROGNAD-MONOMER,b1380(1),LDH_D
2266,CPLX0-7647,b3752(2),RBK
2267,EG11486-MONOMER,b3792(1),ECAtpp
2268,ABC-5-CPLX,b1709(2) AND b0158(1) AND b1711(2),CBIuabcpp
2269,RFBX-MONOMER,b2037(1),O16AUNDtpp
2270,SARCOX-MONOMER,b1059(1),SARCOX
2271,ACS-MONOMER,b4069(1),ACS
2272,EG11035-MONOMER,b0411(1),URItex
2273,MALIC-NAD-CPLX,b1479(4),ME1
2274,CPLX0-3970,b1245(1) AND b1244(1) AND b1247(1) AND b1246(1) AND b1329(1),3PEPTabcpp
2275,MALIC-NADP-CPLX,b2463(6),ME2
2276,YIDT-MONOMER,b3691(1),GALCTNt2pp
2277,ABC-16-CPLX,b4034(1) AND b4035(2) AND b4033(1) AND b4032(1),14GLUCANabcpp
2278,CPLX0-225,b0935(4),FDMO
2279,PHOSACETYLTRANS-CPLX,b2297(6),PTAr
2280,CPLX0-7912,b2458(2),PTAr
2281,AMPG-MONOMER,b0433(1),AGMt2pp
2282,ABC-8-CPLX,b3540(1) AND b3541(1) AND b3542(1) AND b3543(1) AND b3544(1),PROGLYabcpp
2283,G6246-MONOMER,b0446(1),PYDXPP
2284,EG11470-MONOMER,b3826(1),PYDXPP
2285,EG11239-MONOMER,b0766(1),PYDXPP
2286,CPLX0-1,b2710(4),NHFRBO
2287,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA161
2288,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA160
2289,CPLX0-7533,b2215(3),RMNtex
2290,CPLX0-7530,b0241(3),RMNtex
2291,G6700-MONOMER,b1377(1),RMNtex
2292,CPLX0-7534,b0929(3),RMNtex
2293,APHA-CPLX,b4055(4),NTD1pp
2294,USHA-MONOMER,b0480(1),NTD1pp
2295,CDPDIGLYSYN-MONOMER,b0175(1),DASYN120
2296,FOLD-CPLX,b0529(2),MTHFC
2297,FOLD-CPLX,b0529(2),MTHFD
2298,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS141pp
2299,G6406-MONOMER,b0789(1),CLPNS141pp
2300,TRYPSYN,b1260(2) AND b1261(2),TRPS3
2301,TRYPSYN,b1260(2) AND b1261(2),TRPS1
2302,CPLX0-7641,b3915(2),CD2t3pp
2303,B0752-MONOMER,b0752(1),CD2t3pp
2304,CPLX0-7641,b3915(2),FE2t3pp
2305,CPLX0-7533,b2215(3),DHAtex
2306,CPLX0-7530,b0241(3),DHAtex
2307,G6700-MONOMER,b1377(1),DHAtex
2308,CPLX0-7534,b0929(3),DHAtex
2309,GLYOCARBOLIG-CPLX,b0507(2),GLXCL
2310,NUPG-MONOMER,b2964(1),DURIt2pp
2311,NUPC-MONOMER,b2393(1),DURIt2pp
2312,CPLX0-7533,b2215(3),DOXRBCNtex
2313,CPLX0-7534,b0929(3),DOXRBCNtex
2314,CPLX0-7530,b0241(3),DOXRBCNtex
2315,G6700-MONOMER,b1377(1),DOXRBCNtex
2316,OROTPDECARB-CPLX,b1281(2),OMPDC
2317,AAS-MONOMER,b2836(1),2AGPEAT161
2318,AAS-MONOMER,b2836(1),2AGPEAT160
2319,DHHB-METHYLTRANSFER-CPLX,b2232(2),OHPHM
2320,USHA-MONOMER,b0480(1),UACGAMPpp
2321,PUTP-MONOMER,b1015(1),PPAt4pp
2322,AMINEOXID-CPLX,b1386(2),TYROXDApp
2323,EG11702-MONOMER,b3996(1),NADDP
2324,EG10534-MONOMER,b2411(1),NADDP
2325,CPLX0-7533,b2215(3),CRNDtex
2326,CPLX0-7534,b0929(3),CRNDtex
2327,CPLX0-7530,b0241(3),CRNDtex
2328,G6700-MONOMER,b1377(1),CRNDtex
2329,CPLX0-7533,b2215(3),GTPtex
2330,CPLX0-7530,b0241(3),GTPtex
2331,G6700-MONOMER,b1377(1),GTPtex
2332,CPLX0-7534,b0929(3),GTPtex
2333,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),NOVBCNtpp
2334,CPLX0-3932,b0463() AND b2470() AND b3035(),NOVBCNtpp
2335,MMUM-MONOMER,b0261(1),HCYSMT2
2336,EG10201-MONOMER,b0632(1),MDDCP4pp
2337,EG10202-MONOMER,b3182(1),MDDCP4pp
2338,EG10203-MONOMER,b0839(1),MDDCP4pp
2339,RPOA-MONOMER,b2010(1),MDDCP4pp
2340,ADCLY-CPLX,b1096(2),ADCL
2341,EG12312-MONOMER,b0103(1),DPCOAK
2342,ASPKINIIHOMOSERDEHYDROGII-CPLX,b3940(2),HSDy
2343,ASPKINIHOMOSERDEHYDROGI-CPLX,b0002(4),HSDy
2344,PABASYN-CPLX,b3360(1) AND b1812(1),ADCS
2345,FEOB-MONOMER,b3409(1),FE2abcpp
2346,EG11736-MONOMER,b0200(1),GMHEPPA
2347,CPLX0-7533,b2215(3),DCMPtex
2348,CPLX0-7530,b0241(3),DCMPtex
2349,G6700-MONOMER,b1377(1),DCMPtex
2350,CPLX0-7534,b0929(3),DCMPtex
2351,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA180
2352,CPLX0-7533,b2215(3),FUCtex
2353,CPLX0-7530,b0241(3),FUCtex
2354,G6700-MONOMER,b1377(1),FUCtex
2355,CPLX0-7534,b0929(3),FUCtex
2356,PHOSPHOGLUCMUT-MONOMER,b0688(1),PGMT
2357,G7408-MONOMER,b2690(1),PGMT
2358,AKBLIG-CPLX,b3617(2),GLYAT
2359,CPLX0-7533,b2215(3),ANHGMtex
2360,CPLX0-7530,b0241(3),ANHGMtex
2361,G6700-MONOMER,b1377(1),ANHGMtex
2362,CPLX0-7534,b0929(3),ANHGMtex
2363,CPLX0-7533,b2215(3),GLYCLTtex
2364,CPLX0-7530,b0241(3),GLYCLTtex
2365,G6700-MONOMER,b1377(1),GLYCLTtex
2366,CPLX0-7534,b0929(3),GLYCLTtex
2367,DCUB-MONOMER,b4123(1),SUCTARTtpp
2368,ABC-63-CPLX,b1859(2) AND b1858(2) AND b1857(1),ZNabcpp
2369,EG10739-MONOMER,b3825(1),LPLIPAL2ATE141
2370,DIHYDROPTERIREDUCT-CPLX,b0578(2),DHPTDNR
2371,UDP-NACMURALA-GLU-LIG-MONOMER,b0088(1),UAMAGS
2372,GNTP-MONOMER,b4321(1),FRUURt2rpp
2373,EG11035-MONOMER,b0411(1),ADNtex
2374,H2PTEROATESYNTH-CPLX,b3177(2),DHPS2
2375,CPLX0-7533,b2215(3),PYDXtex
2376,G6700-MONOMER,b1377(1),PYDXtex
2377,CPLX0-7530,b0241(3),PYDXtex
2378,CPLX0-7534,b0929(3),PYDXtex
2379,CPLX0-7630,b0494(4),LPLIPAL1E141pp
2380,THIOESTERII-CPLX,b0452(4),FACOAE60
2381,CPLX0-1667,b2342(),ACACT4r
2382,FADA-CPLX,b3845(2),ACACT4r
2383,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),COLIPAabctex
2384,ALKAPHOSPHA-CPLX,b0383(2),PPTHpp
2385,MONOMER0-341,b3821(1),PLIPA1E180pp
2386,THIE-MONOMER,b3993(1),TMPPP
2387,ARCD-MONOMER,b1605(1),ARGORNt7pp
2388,MONOMER0-341,b3821(1),PLIPA1G140pp
2389,NAG1P-URIDYLTRANS-CPLX,b3730(3),G1PACT
2390,CPLX0-1669,b1701(2),FACOAL80t2pp
2391,ACYLCOASYN-CPLX,b1805(2),FACOAL80t2pp
2392,THIOESTERII-CPLX,b0452(4),FACOAE80
2393,TRE6PHYDRO-MONOMER,b4239(1),TRE6PH
2394,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,b3833(1),OMBZLM
2395,TREHALOSEPHOSPHASYN-MONOMER,b1897(1),TRE6PP
2396,TREHALOSE6PSYN-MONOMER,b1896(1),TRE6PS
2397,YGJU-MONOMER,b3089(1),THRt4pp
2398,CPLX0-3181,b0166(2),THDPS
2399,DHHB-METHYLTRANSFER-CPLX,b2232(2),DMQMT
2400,CPLX0-7533,b2215(3),GALtex
2401,CPLX0-7530,b0241(3),GALtex
2402,G6700-MONOMER,b1377(1),GALtex
2403,CPLX0-7534,b0929(3),GALtex
2404,CPLX-158,b2415(1) AND b2416(2) AND b2167(2) AND b2169(1),FRUptspp
2405,CPLX0-341,b3639(12),PPNCL2
2406,CPLX0-7659,b0414(2),DHPPDA2
2407,ADHC-CPLX,b0356(2),FALDH2
2408,CPLX0-7533,b2215(3),CITtex
2409,CPLX0-7530,b0241(3),CITtex
2410,G6700-MONOMER,b1377(1),CITtex
2411,CPLX0-7534,b0929(3),CITtex
2412,THRESYN-MONOMER,b0004(1),4HTHRS
2413,MONOMER0-341,b3821(1),PLIPA1E141pp
2414,CPLX0-7741,b2917(2),MMM
2415,PHOSACETYLTRANS-CPLX,b2297(6),PTA2
2416,CPLX0-7659,b0414(2),APRAUR
2417,TRANS-CPLX-203,b3577() AND b3579() AND b3578(),XYLUt2pp
2418,FORMHYDROGI-CPLX,b0974() AND b0972() AND b0973(),HYD3pp
2419,FORMHYDROG2-CPLX,b2994() AND b2995() AND b2996() AND b2997(),HYD3pp
2420,GLYCOGEN-BRANCH-MONOMER,b3432(1),GLBRAN2
2421,CPLX0-7718,b2255(6),UDPGDC
2422,APHA-CPLX,b4055(4),NTD10pp
2423,USHA-MONOMER,b0480(1),NTD10pp
2424,B0612-MONOMER,b0612(1),CITt7pp
2425,CPLX0-7630,b0494(4),LPLIPAL1G120pp
2426,CPLX0-3661,b3052(2),GMHEPK
